d,n1,n2,p_l
11,7,8,2.665e-06
11,7,9,3.804e-06
11,7,10,5.359e-06
11,7,11,7.339e-06
11,7,12,9.939e-06
11,7,13,1.2833e-05
11,7,14,1.6617e-05
11,7,15,2.1354e-05
13,7,0,2e-09
13,7,1,4e-09
13,7,2,1.3e-08
13,7,3,3.1e-08
13,7,4,5.7e-08
13,7,5,8.7e-08
13,7,6,1.56e-07
13,7,7,3.04e-07
13,7,8,5.16e-07
13,7,9,7.04e-07
13,7,10,1.027e-06
13,7,11,1.535e-06
13,7,12,2.073e-06
13,7,13,2.833e-06
13,7,14,3.968e-06
13,7,15,5.198e-06
3,8,0,0.000559282
3,8,1,0.000693937
3,8,2,0.000833292
3,8,3,0.000989988
3,8,4,0.001155696
3,8,5,0.001366423
3,8,6,0.001553145
3,8,7,0.001764827
3,8,8,0.001984428
3,8,9,0.002220242
3,8,10,0.002517489
3,8,11,0.002778822
3,8,12,0.003056361
3,8,13,0.003345077
3,8,14,0.00376065
3,8,15,0.004078622
5,8,0,6.7412e-05
5,8,1,9.3343e-05
5,8,2,0.00012615
5,8,3,0.000164457
5,8,4,0.000211122
5,8,5,0.000264188
5,8,6,0.000325062
5,8,7,0.00039355
5,8,8,0.000471609
5,8,9,0.000557993
5,8,10,0.000651919
5,8,11,0.000755877
5,8,12,0.000871232
5,8,13,0.000990136
5,8,14,0.001119182
5,8,15,0.001257829
7,8,0,6.217e-06
7,8,1,9.921e-06
7,8,2,1.534e-05
7,8,3,2.2046e-05
7,8,4,3.1177e-05
7,8,5,4.1929e-05
7,8,6,5.5946e-05
7,8,7,7.2961e-05
7,8,8,9.2609e-05
7,8,9,0.000115742
7,8,10,0.000142126
7,8,11,0.000173477
7,8,12,0.000209458
7,8,13,0.000249354
7,8,14,0.000295085
7,8,15,0.000345443
9,8,0,5.23e-07
9,8,1,9.7e-07
9,8,2,1.677e-06
9,8,3,2.689e-06
9,8,4,4.201e-06
9,8,5,6.233e-06
9,8,6,9.052e-06
9,8,7,1.2847e-05
9,8,8,1.711e-05
9,8,9,2.2902e-05
9,8,10,2.9546e-05
9,8,11,3.8069e-05
9,8,12,4.8155e-05
9,8,13,6.0421e-05
9,8,14,7.4681e-05
9,8,15,9.0729e-05
11,8,0,4e-08
11,8,1,7.5e-08
11,8,2,1.87e-07
11,8,3,2.81e-07
11,8,4,5.12e-07
11,8,5,9.3e-07
11,8,6,1.315e-06
11,8,7,2.12e-06
11,8,8,3.124e-06
11,8,9,4.329e-06
11,8,10,5.871e-06
11,8,11,8.161e-06
11,8,12,1.0911e-05
11,8,13,1.4158e-05
11,8,14,1.8071e-05
11,8,15,2.3402e-05
13,8,0,4e-09
13,8,1,6e-09
13,8,2,2.2e-08
13,8,3,3.2e-08
13,8,4,7.6e-08
13,8,5,1.14e-07
13,8,6,2.09e-07
13,8,7,3.43e-07
13,8,8,5.31e-07
13,8,9,8.1e-07
13,8,10,1.208e-06
13,8,11,1.676e-06
13,8,12,2.414e-06
13,8,13,3.294e-06
13,8,14,4.397e-06
13,8,15,5.823e-06
3,9,0,0.000559453
3,9,1,0.000696462
3,9,2,0.000835557
3,9,3,0.000993726
3,9,4,0.001158927
3,9,5,0.001341174
3,9,6,0.001563526
3,9,7,0.001773188
3,9,8,0.001992096
3,9,9,0.002229573
3,9,10,0.00247878
3,9,11,0.002796376
3,9,12,0.003075258
3,9,13,0.003363208
3,9,14,0.003664841
3,9,15,0.004117464
5,9,0,6.9821e-05
5,9,1,9.7388e-05
5,9,2,0.000130981
5,9,3,0.000171391
5,9,4,0.000221633
5,9,5,0.000275148
5,9,6,0.000337594
5,9,7,0.000409586
5,9,8,0.000488396
5,9,9,0.000580566
5,9,10,0.000676938
5,9,11,0.0007835
5,9,12,0.000902939
5,9,13,0.001024754
5,9,14,0.00115493
5,9,15,0.001302891
7,9,0,6.561e-06
7,9,1,1.0606e-05
7,9,2,1.6382e-05
7,9,3,2.3534e-05
7,9,4,3.3194e-05
7,9,5,4.5066e-05
7,9,6,5.9467e-05
7,9,7,7.7703e-05
7,9,8,9.8256e-05
7,9,9,0.000123171
7,9,10,0.000151448
7,9,11,0.000184543
7,9,12,0.00022145
7,9,13,0.000264329
7,9,14,0.000311484
7,9,15,0.000365465
9,9,0,6.12e-07
9,9,1,1.027e-06
9,9,2,1.871e-06
9,9,3,2.929e-06
9,9,4,4.672e-06
9,9,5,6.937e-06
9,9,6,1.0107e-05
9,9,7,1.4024e-05
9,9,8,1.8753e-05
9,9,9,2.456e-05
9,9,10,3.2246e-05
