rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime
"(np.float64(0.5), np.float64(1.0), np.float64(0.9))",0.5,1.0,0.9,2.4,1.64,3.9400000000000004
"(np.float64(0.5), np.float64(1.0), np.float64(1.0))",0.5,1.0,1.0,2.4,1.67,4.01
"(np.float64(0.5), np.float64(1.0), np.float64(1.1))",0.5,1.0,1.1,2.4,1.71,4.1
"(np.float64(0.5), np.float64(1.0), np.float64(1.2))",0.5,1.0,1.2,2.4,1.75,4.2
"(np.float64(0.5), np.float64(1.0), np.float64(1.3))",0.5,1.0,1.3,2.4,1.78,4.27
"(np.float64(0.5), np.float64(1.0), np.float64(1.4))",0.5,1.0,1.4,2.4,1.82,4.37
"(np.float64(0.5), np.float64(1.0), np.float64(1.5))",0.5,1.0,1.5,2.4,1.85,4.44
"(np.float64(0.5), np.float64(1.0), np.float64(1.6))",0.5,1.0,1.6,2.4,1.85,4.44
"(np.float64(0.5), np.float64(1.0), np.float64(1.7))",0.5,1.0,1.7,2.4,1.89,4.54
"(np.float64(0.5), np.float64(1.0), np.float64(1.8))",0.5,1.0,1.8,2.4,1.92,4.61
"(np.float64(0.5), np.float64(1.0), np.float64(1.9))",0.5,1.0,1.9,2.4,1.96,4.7
"(np.float64(0.5), np.float64(1.0), np.float64(2.0))",0.5,1.0,2.0,2.4,2.0,4.8
"(np.float64(0.5), np.float64(1.1), np.float64(0.5))",0.5,1.1,0.5,2.4,1.52,3.65
"(np.float64(0.5), np.float64(1.1), np.float64(0.6))",0.5,1.1,0.6,2.4,1.56,3.74
"(np.float64(0.5), np.float64(1.1), np.float64(0.7))",0.5,1.1,0.7,2.4,1.59,3.8199999999999994
"(np.float64(0.5), np.float64(1.1), np.float64(0.8))",0.5,1.1,0.8,2.4,1.63,3.91
"(np.float64(0.5), np.float64(1.1), np.float64(0.9))",0.5,1.1,0.9,2.4,1.66,3.98
"(np.float64(0.5), np.float64(1.1), np.float64(1.0))",0.5,1.1,1.0,2.4,1.7,4.08
