rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime
"(np.float64(0.5), np.float64(1.2), np.float64(1.1))",0.5,1.2,1.1,1.38,2.53,3.49
"(np.float64(0.5), np.float64(1.2), np.float64(1.2))",0.5,1.2,1.2,1.38,2.58,3.56
"(np.float64(0.5), np.float64(1.2), np.float64(1.3))",0.5,1.2,1.3,1.38,2.63,3.6299999999999994
"(np.float64(0.5), np.float64(1.2), np.float64(1.4))",0.5,1.2,1.4,1.38,2.68,3.7000000000000006
"(np.float64(0.5), np.float64(1.2), np.float64(1.5))",0.5,1.2,1.5,1.38,2.72,3.75
"(np.float64(0.5), np.float64(1.2), np.float64(1.6))",0.5,1.2,1.6,1.38,2.77,3.8199999999999994
"(np.float64(0.5), np.float64(1.2), np.float64(1.7))",0.5,1.2,1.7,1.38,2.8200000000000003,3.89
"(np.float64(0.5), np.float64(1.2), np.float64(1.8))",0.5,1.2,1.8,1.38,2.87,3.96
"(np.float64(0.5), np.float64(1.2), np.float64(1.9))",0.5,1.2,1.9,1.38,2.92,4.03
"(np.float64(0.5), np.float64(1.2), np.float64(2.0))",0.5,1.2,2.0,1.38,2.96,4.08
"(np.float64(0.5), np.float64(1.3), np.float64(0.5))",0.5,1.3,0.5,2.04,2.31,4.71
"(np.float64(0.5), np.float64(1.3), np.float64(0.6))",0.5,1.3,0.6,1.7,2.36,4.01
"(np.float64(0.5), np.float64(1.3), np.float64(0.7))",0.5,1.3,0.7,1.46,2.4,3.5
"(np.float64(0.5), np.float64(1.3), np.float64(0.8))",0.5,1.3,0.8,1.38,2.45,3.3799999999999994
"(np.float64(0.5), np.float64(1.3), np.float64(0.9))",0.5,1.3,0.9,1.38,2.5,3.45
"(np.float64(0.5), np.float64(1.3), np.float64(1.0))",0.5,1.3,1.0,1.38,2.55,3.5199999999999996
"(np.float64(0.5), np.float64(1.3), np.float64(1.1))",0.5,1.3,1.1,1.38,2.59,3.5699999999999994
"(np.float64(0.5), np.float64(1.3), np.float64(1.2))",0.5,1.3,1.2,1.38,2.64,3.6400000000000006
"(np.float64(0.5), np.float64(1.3), np.float64(1.3))",0.5,1.3,1.3,1.38,2.69,3.7100000000000004
"(np.float64(0.5), np.float64(1.3), np.float64(1.4))",0.5,1.3,1.4,1.38,2.74,3.7799999999999994
"(np.float64(0.5), np.float64(1.3), np.float64(1.5))",0.5,1.3,1.5,1.38,2.79,3.8499999999999996
"(np.float64(0.5), np.float64(1.3), np.float64(1.6))",0.5,1.3,1.6,1.38,2.83,3.91
"(np.float64(0.5), np.float64(1.3), np.float64(1.7))",0.5,1.3,1.7,1.38,2.88,3.9700000000000006
"(np.float64(0.5), np.float64(1.3), np.float64(1.8))",0.5,1.3,1.8,1.38,2.9300000000000006,4.04
"(np.float64(0.5), np.float64(1.3), np.float64(1.9))",0.5,1.3,1.9,1.38,2.98,4.11
"(np.float64(0.5), np.float64(1.3), np.float64(2.0))",0.5,1.3,2.0,1.38,3.02,4.17
"(np.float64(0.5), np.float64(1.4), np.float64(0.5))",0.5,1.4,0.5,2.04,2.37,4.83
"(np.float64(0.5), np.float64(1.4), np.float64(0.6))",0.5,1.4,0.6,1.7,2.42,4.11
"(np.float64(0.5), np.float64(1.4), np.float64(0.7))",0.5,1.4,0.7,1.46,2.46,3.59
"(np.float64(0.5), np.float64(1.4), np.float64(0.8))",0.5,1.4,0.8,1.38,2.51,3.46
"(np.float64(0.5), np.float64(1.4), np.float64(0.9))",0.5,1.4,0.9,1.38,2.56,3.53
