rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime,num_benchmarks,num_rows
"(0.5, 1.3, 1.0)",0.5,1.3,1.0,1.7979820256853176,1.6530717968995974,2.974392687867569,4,4
"(0.5, 1.3, 1.1)",0.5,1.3,1.1,1.7979820256853176,1.6769902207872722,3.015773500052763,4,4
"(0.5, 1.3, 1.2)",0.5,1.3,1.2,1.7979820256853176,1.700051124805452,3.0570238961009104,4,4
"(0.5, 1.3, 1.3)",0.5,1.3,1.3,1.7979820256853176,1.7206920546475704,3.0930209269630593,4,4
"(0.5, 1.3, 1.4)",0.5,1.3,1.4,1.7979820256853176,1.7476183260511984,3.140092500569594,4,4
"(0.5, 1.3, 1.5)",0.5,1.3,1.5,1.7979820256853176,1.7690009633435522,3.1818852427289364,4,4
"(0.5, 1.3, 1.6)",0.5,1.3,1.6,1.7979820256853176,1.7850476405637796,3.20882734497567,4,4
"(0.5, 1.3, 1.7)",0.5,1.3,1.7,1.7979820256853176,1.811910593803977,3.26009402474518,4,4
"(0.5, 1.3, 1.8)",0.5,1.3,1.8,1.7979820256853176,1.830019131257261,3.292228957109959,4,4
"(0.5, 1.3, 1.9)",0.5,1.3,1.9,1.7979820256853176,1.853576620659108,3.331158009110319,4,4
"(0.5, 1.3, 2.0)",0.5,1.3,2.0,1.7979820256853176,1.8780508340857978,3.3779819534699005,4,4
"(0.5, 1.4, 0.5)",0.5,1.4,0.5,2.1901924405151587,1.5537367037242837,3.4017548794353534,4,4
"(0.5, 1.4, 0.6)",0.5,1.4,0.6,2.0022534959552285,1.581023174165823,3.1675842331370094,4,4
"(0.5, 1.4, 0.7)",0.5,1.4,0.7,1.851934138835037,1.605147227746706,2.9715902772204856,4,4
"(0.5, 1.4, 0.8)",0.5,1.4,0.8,1.7979820256853176,1.6220411778402657,2.9145187157551926,4,4
"(0.5, 1.4, 0.9)",0.5,1.4,0.9,1.7979820256853176,1.6491629172057782,2.9660869403060617,4,4
"(0.5, 1.4, 1.0)",0.5,1.4,1.0,1.7979820256853176,1.6738590797057449,3.0090983220760044,4,4
"(0.5, 1.4, 1.1)",0.5,1.4,1.1,1.7979820256853176,1.6977336972656623,3.052856622526365,4,4
"(0.5, 1.4, 1.2)",0.5,1.4,1.2,1.7979820256853176,1.720781230508568,3.096241384852587,4,4
"(0.5, 1.4, 1.3)",0.5,1.4,1.3,1.7979820256853176,1.74136665159816,3.130409592038263,4,4
"(0.5, 1.4, 1.4)",0.5,1.4,1.4,1.7979820256853176,1.7650562339288256,3.1756108251400152,4,4
"(0.5, 1.4, 1.5)",0.5,1.4,1.5,1.7979820256853176,1.7896106313777156,3.216539023758136,4,4
"(0.5, 1.4, 1.6)",0.5,1.4,1.6,1.7979820256853176,1.8071935067081393,3.250339149749212,4,4
"(0.5, 1.4, 1.7)",0.5,1.4,1.7,1.7979820256853176,1.8292679688081093,3.289122861238589,4,4
"(0.5, 1.4, 1.8)",0.5,1.4,1.8,1.7979820256853176,1.8472945171157042,3.3194014663041114,4,4
"(0.5, 1.4, 1.9)",0.5,1.4,1.9,1.7979820256853176,1.8740630152149031,3.3696196880255798,4,4
"(0.5, 1.4, 2.0)",0.5,1.4,2.0,1.7979820256853176,1.8985159177242619,3.4129672420603416,4,4
"(0.5, 1.5, 0.5)",0.5,1.5,0.5,2.1901924405151587,1.577103796219674,3.4555540636130515,4,4
"(0.5, 1.5, 0.6)",0.5,1.5,0.6,2.0022534959552285,1.6012193086228317,3.204118560843052,4,4
"(0.5, 1.5, 0.7)",0.5,1.5,0.7,1.851934138835037,1.6259763481215594,3.0102473671796197,4,4
"(0.5, 1.5, 0.8)",0.5,1.5,0.8,1.7979820256853176,1.6452193415785967,2.958987682773939,4,4
"(0.5, 1.5, 0.9)",0.5,1.5,0.9,1.7979820256853176,1.6699152258293202,3.002800465145477,4,4
"(0.5, 1.5, 1.0)",0.5,1.5,1.0,1.7979820256853176,1.6937811451303753,3.0482880146211495,4,4
"(0.5, 1.5, 1.1)",0.5,1.5,1.1,1.7979820256853176,1.7184139473959723,3.0873600691600287,4,4
"(0.5, 1.5, 1.2)",0.5,1.5,1.2,1.7979820256853176,1.745369573358241,3.1362080442349756,4,4
"(0.5, 1.5, 1.3)",0.5,1.5,1.3,1.7979820256853176,1.7643075878088985,3.1742095933533263,4,4
"(0.5, 1.5, 1.4)",0.5,1.5,1.4,1.7979820256853176,1.7856341504942466,3.2098861618857972,4,4
"(0.5, 1.5, 1.5)",0.5,1.5,1.5,1.7979820256853176,1.8124685437134858,3.2602016953270723,4,4
"(0.5, 1.5, 1.6)",0.5,1.5,1.6,1.7979820256853176,1.8300425901838226,3.291692472538476,4,4
"(0.5, 1.5, 1.7)",0.5,1.5,1.7,1.7979820256853176,1.849770543459041,3.323252259111221,4,4
"(0.5, 1.5, 1.8)",0.5,1.5,1.8,1.7979820256853176,1.8700449667786234,3.362906010742621,4,4
"(0.5, 1.5, 1.9)",0.5,1.5,1.9,1.7979820256853176,1.8944993289511411,3.403609716540594,4,4
"(0.5, 1.5, 2.0)",0.5,1.5,2.0,1.7979820256853176,1.9212125645862592,3.456407703673199,4,4
"(0.5, 1.6, 0.5)",0.5,1.6,0.5,2.1901924405151587,1.5947397408793016,3.4932296611499405,4,4
"(0.5, 1.6, 0.6)",0.5,1.6,0.6,2.0022534959552285,1.6187847101858859,3.2402146921992867,4,4
"(0.5, 1.6, 0.7)",0.5,1.6,0.7,1.851934138835037,1.6458976486059471,3.050901139886846,4,4
"(0.5, 1.6, 0.8)",0.5,1.6,0.8,1.7979820256853176,1.6642460494552307,2.9939982803559513,4,4
