rs_sf,num_msd_sf,num_msc_sf,num_ysd_sf,time,space,spacetime
"(np.float64(0.5), np.float64(1.6), np.float64(0.5))",0.5,1.6,0.5,2.05,1.24,2.54
"(np.float64(0.5), np.float64(1.6), np.float64(0.6))",0.5,1.6,0.6,1.71,1.25,2.14
"(np.float64(0.5), np.float64(1.6), np.float64(0.7))",0.5,1.6,0.7,1.46,1.26,1.84
"(np.float64(0.5), np.float64(1.6), np.float64(0.8))",0.5,1.6,0.8,1.38,1.27,1.75
"(np.float64(0.5), np.float64(1.6), np.float64(0.9))",0.5,1.6,0.9,1.38,1.28,1.77
"(np.float64(0.5), np.float64(1.6), np.float64(1.0))",0.5,1.6,1.0,1.38,1.29,1.78
"(np.float64(0.5), np.float64(1.6), np.float64(1.1))",0.5,1.6,1.1,1.38,1.3,1.79
"(np.float64(0.5), np.float64(1.6), np.float64(1.2))",0.5,1.6,1.2,1.38,1.31,1.81
"(np.float64(0.5), np.float64(1.6), np.float64(1.3))",0.5,1.6,1.3,1.38,1.32,1.82
"(np.float64(0.5), np.float64(1.6), np.float64(1.4))",0.5,1.6,1.4,1.38,1.33,1.84
"(np.float64(0.5), np.float64(1.6), np.float64(1.5))",0.5,1.6,1.5,1.38,1.34,1.85
"(np.float64(0.5), np.float64(1.6), np.float64(1.6))",0.5,1.6,1.6,1.38,1.35,1.86
"(np.float64(0.5), np.float64(1.6), np.float64(1.7))",0.5,1.6,1.7,1.38,1.36,1.88
"(np.float64(0.5), np.float64(1.6), np.float64(1.8))",0.5,1.6,1.8,1.38,1.37,1.89
"(np.float64(0.5), np.float64(1.6), np.float64(1.9))",0.5,1.6,1.9,1.38,1.38,1.9
"(np.float64(0.5), np.float64(1.6), np.float64(2.0))",0.5,1.6,2.0,1.38,1.39,1.92
"(np.float64(0.5), np.float64(1.7), np.float64(0.5))",0.5,1.7,0.5,2.05,1.25,2.56
"(np.float64(0.5), np.float64(1.7), np.float64(0.6))",0.5,1.7,0.6,1.71,1.26,2.15
"(np.float64(0.5), np.float64(1.7), np.float64(0.7))",0.5,1.7,0.7,1.46,1.27,1.85
"(np.float64(0.5), np.float64(1.7), np.float64(0.8))",0.5,1.7,0.8,1.38,1.28,1.77
"(np.float64(0.5), np.float64(1.7), np.float64(0.9))",0.5,1.7,0.9,1.38,1.29,1.78
"(np.float64(0.5), np.float64(1.7), np.float64(1.0))",0.5,1.7,1.0,1.38,1.3,1.79
"(np.float64(0.5), np.float64(1.7), np.float64(1.1))",0.5,1.7,1.1,1.38,1.31,1.81
"(np.float64(0.5), np.float64(1.7), np.float64(1.2))",0.5,1.7,1.2,1.38,1.32,1.82
"(np.float64(0.5), np.float64(1.7), np.float64(1.3))",0.5,1.7,1.3,1.38,1.33,1.84
"(np.float64(0.5), np.float64(1.7), np.float64(1.4))",0.5,1.7,1.4,1.38,1.34,1.85
"(np.float64(0.5), np.float64(1.7), np.float64(1.5))",0.5,1.7,1.5,1.38,1.35,1.86
"(np.float64(0.5), np.float64(1.7), np.float64(1.6))",0.5,1.7,1.6,1.38,1.36,1.88
"(np.float64(0.5), np.float64(1.7), np.float64(1.7))",0.5,1.7,1.7,1.38,1.37,1.89
"(np.float64(0.5), np.float64(1.7), np.float64(1.8))",0.5,1.7,1.8,1.38,1.38,1.9
"(np.float64(0.5), np.float64(1.7), np.float64(1.9))",0.5,1.7,1.9,1.38,1.39,1.92
"(np.float64(0.5), np.float64(1.7), np.float64(2.0))",0.5,1.7,2.0,1.38,1.4,1.93
"(np.float64(0.5), np.float64(1.8), np.float64(0.5))",0.5,1.8,0.5,2.05,1.26,2.58
"(np.float64(0.5), np.float64(1.8), np.float64(0.6))",0.5,1.8,0.6,1.71,1.27,2.17
"(np.float64(0.5), np.float64(1.8), np.float64(0.7))",0.5,1.8,0.7,1.46,1.28,1.87
"(np.float64(0.5), np.float64(1.8), np.float64(0.8))",0.5,1.8,0.8,1.38,1.29,1.78
"(np.float64(0.5), np.float64(1.8), np.float64(0.9))",0.5,1.8,0.9,1.38,1.3,1.79
"(np.float64(0.5), np.float64(1.8), np.float64(1.0))",0.5,1.8,1.0,1.38,1.31,1.81
"(np.float64(0.5), np.float64(1.8), np.float64(1.1))",0.5,1.8,1.1,1.38,1.32,1.82
"(np.float64(0.5), np.float64(1.8), np.float64(1.2))",0.5,1.8,1.2,1.38,1.33,1.84
"(np.float64(0.5), np.float64(1.8), np.float64(1.3))",0.5,1.8,1.3,1.38,1.34,1.85
"(np.float64(0.5), np.float64(1.8), np.float64(1.4))",0.5,1.8,1.4,1.38,1.35,1.86
"(np.float64(0.5), np.float64(1.8), np.float64(1.5))",0.5,1.8,1.5,1.38,1.36,1.88
"(np.float64(0.5), np.float64(1.8), np.float64(1.6))",0.5,1.8,1.6,1.38,1.37,1.89
"(np.float64(0.5), np.float64(1.8), np.float64(1.7))",0.5,1.8,1.7,1.38,1.38,1.9
"(np.float64(0.5), np.float64(1.8), np.float64(1.8))",0.5,1.8,1.8,1.38,1.39,1.92
"(np.float64(0.5), np.float64(1.8), np.float64(1.9))",0.5,1.8,1.9,1.38,1.4,1.93
"(np.float64(0.5), np.float64(1.8), np.float64(2.0))",0.5,1.8,2.0,1.38,1.41,1.95
"(np.float64(0.5), np.float64(1.9), np.float64(0.5))",0.5,1.9,0.5,2.05,1.26,2.58
"(np.float64(0.5), np.float64(1.9), np.float64(0.6))",0.5,1.9,0.6,1.71,1.27,2.17
"(np.float64(0.5), np.float64(1.9), np.float64(0.7))",0.5,1.9,0.7,1.46,1.28,1.87
"(np.float64(0.5), np.float64(1.9), np.float64(0.8))",0.5,1.9,0.8,1.38,1.29,1.78
"(np.float64(0.5), np.float64(1.9), np.float64(0.9))",0.5,1.9,0.9,1.38,1.3,1.79
"(np.float64(0.5), np.float64(1.9), np.float64(1.0))",0.5,1.9,1.0,1.38,1.31,1.81
"(np.float64(0.5), np.float64(1.9), np.float64(1.1))",0.5,1.9,1.1,1.38,1.32,1.82
"(np.float64(0.5), np.float64(1.9), np.float64(1.2))",0.5,1.9,1.2,1.38,1.33,1.84
"(np.float64(0.5), np.float64(1.9), np.float64(1.3))",0.5,1.9,1.3,1.38,1.34,1.85
"(np.float64(0.5), np.float64(1.9), np.float64(1.4))",0.5,1.9,1.4,1.38,1.35,1.86
"(np.float64(0.5), np.float64(1.9), np.float64(1.5))",0.5,1.9,1.5,1.38,1.36,1.88
"(np.float64(0.5), np.float64(1.9), np.float64(1.6))",0.5,1.9,1.6,1.38,1.37,1.89
"(np.float64(0.5), np.float64(1.9), np.float64(1.7))",0.5,1.9,1.7,1.38,1.38,1.9
"(np.float64(0.5), np.float64(1.9), np.float64(1.8))",0.5,1.9,1.8,1.38,1.4,1.93
"(np.float64(0.5), np.float64(1.9), np.float64(1.9))",0.5,1.9,1.9,1.38,1.41,1.95
"(np.float64(0.5), np.float64(1.9), np.float64(2.0))",0.5,1.9,2.0,1.38,1.42,1.96
"(np.float64(0.5), np.float64(2.0), np.float64(0.5))",0.5,2.0,0.5,2.05,1.27,2.6
"(np.float64(0.5), np.float64(2.0), np.float64(0.6))",0.5,2.0,0.6,1.71,1.28,2.19
"(np.float64(0.5), np.float64(2.0), np.float64(0.7))",0.5,2.0,0.7,1.46,1.29,1.88
"(np.float64(0.5), np.float64(2.0), np.float64(0.8))",0.5,2.0,0.8,1.38,1.3,1.79
"(np.float64(0.5), np.float64(2.0), np.float64(0.9))",0.5,2.0,0.9,1.38,1.31,1.81
"(np.float64(0.5), np.float64(2.0), np.float64(1.0))",0.5,2.0,1.0,1.38,1.32,1.82
"(np.float64(0.5), np.float64(2.0), np.float64(1.1))",0.5,2.0,1.1,1.38,1.33,1.84
"(np.float64(0.5), np.float64(2.0), np.float64(1.2))",0.5,2.0,1.2,1.38,1.34,1.85
"(np.float64(0.5), np.float64(2.0), np.float64(1.3))",0.5,2.0,1.3,1.38,1.35,1.86
"(np.float64(0.5), np.float64(2.0), np.float64(1.4))",0.5,2.0,1.4,1.38,1.36,1.88
"(np.float64(0.5), np.float64(2.0), np.float64(1.5))",0.5,2.0,1.5,1.38,1.37,1.89
"(np.float64(0.5), np.float64(2.0), np.float64(1.6))",0.5,2.0,1.6,1.38,1.38,1.9
"(np.float64(0.5), np.float64(2.0), np.float64(1.7))",0.5,2.0,1.7,1.38,1.39,1.92
"(np.float64(0.5), np.float64(2.0), np.float64(1.8))",0.5,2.0,1.8,1.38,1.4,1.93
"(np.float64(0.5), np.float64(2.0), np.float64(1.9))",0.5,2.0,1.9,1.38,1.41,1.95
"(np.float64(0.5), np.float64(2.0), np.float64(2.0))",0.5,2.0,2.0,1.38,1.42,1.96
"(np.float64(0.6), np.float64(0.5), np.float64(0.5))",0.6,0.5,0.5,2.07,1.16,2.4
